[2023-08-15 12:47:15][__main__.py][L41][INFO]dataset:
  name: fc_200
  batch_size: 16
  train_set: 0.9
  test_set: 0.1
  fc_path: /mnt/ssd1/mehul_data/research/fc_200_data.npy
  node_sz: 200
  node_feature_sz: 200
  num_classes: 2
  perc_edges: 100
model:
  name: GCN
  num_layers: 2
  hidden_size: 64
  dropout: 0.5
  readout: mean
optimizer:
- name: Adam
  lr: 0.0001
  match_rule: None
  except_rule: None
  no_weight_decay: false
  weight_decay: 0.0001
  lr_scheduler:
    mode: poly
    base_lr: 0.0001
    target_lr: 1.0e-05
    decay_factor: 0.1
    milestones:
    - 0.3
    - 0.6
    - 0.9
    poly_power: 2.0
    lr_decay: 0.98
    warm_up_from: 0.0
    warm_up_steps: 0
training:
  name: Train
  epochs: 100
  l2: 0.0
log_path: result
repeat_time: 5
device: cuda:0
is_wandb: true
project: asd-graph

[2023-08-15 12:47:15][__init__.py][L15][INFO]cfg.dataset.name: fc_200
[2023-08-15 12:47:17][optimizer.py][L66][INFO]Parameters [normal] length [8]
[2023-08-15 12:47:17][__init__.py][L25][INFO]Training: Train
[2023-08-15 12:47:24][Train.py][L153][INFO]Epoch[15/100] | Train Loss: 0.621 | Train Accuracy: 71.918% | Test Loss: 0.649 | Test Accuracy: 65.854% | Best Test Accuracy: 65.854% | Test AUC:0.6699 | Test Sen:0.4737 | Test Spe:0.8182 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | LR:0.0000750
[2023-08-15 12:47:25][Train.py][L153][INFO]Epoch[16/100] | Train Loss: 0.615 | Train Accuracy: 68.082% | Test Loss: 0.661 | Test Accuracy: 51.220% | Best Test Accuracy: 65.854% | Test AUC:0.6746 | Test Sen:0.7105 | Test Spe:0.3409 | Test F1:0.5122 | Test Recall:0.5122 | Test Precision:0.5122 | LR:0.0000735
[2023-08-15 12:47:26][Train.py][L153][INFO]Epoch[17/100] | Train Loss: 0.609 | Train Accuracy: 69.726% | Test Loss: 0.645 | Test Accuracy: 60.976% | Best Test Accuracy: 65.854% | Test AUC:0.6776 | Test Sen:0.7105 | Test Spe:0.5227 | Test F1:0.6098 | Test Recall:0.6098 | Test Precision:0.6098 | LR:0.0000720
[2023-08-15 12:47:26][Train.py][L153][INFO]Epoch[18/100] | Train Loss: 0.601 | Train Accuracy: 70.959% | Test Loss: 0.639 | Test Accuracy: 62.195% | Best Test Accuracy: 65.854% | Test AUC:0.6782 | Test Sen:0.6579 | Test Spe:0.5909 | Test F1:0.6220 | Test Recall:0.6220 | Test Precision:0.6220 | LR:0.0000705
[2023-08-15 12:47:27][Train.py][L153][INFO]Epoch[19/100] | Train Loss: 0.589 | Train Accuracy: 72.603% | Test Loss: 0.636 | Test Accuracy: 62.195% | Best Test Accuracy: 65.854% | Test AUC:0.6818 | Test Sen:0.6842 | Test Spe:0.5682 | Test F1:0.6220 | Test Recall:0.6220 | Test Precision:0.6220 | LR:0.0000690
[2023-08-15 12:47:27][Train.py][L153][INFO]Epoch[20/100] | Train Loss: 0.583 | Train Accuracy: 72.055% | Test Loss: 0.634 | Test Accuracy: 60.976% | Best Test Accuracy: 65.854% | Test AUC:0.6830 | Test Sen:0.6842 | Test Spe:0.5455 | Test F1:0.6098 | Test Recall:0.6098 | Test Precision:0.6098 | LR:0.0000676
[2023-08-15 12:47:28][Train.py][L153][INFO]Epoch[21/100] | Train Loss: 0.578 | Train Accuracy: 74.658% | Test Loss: 0.628 | Test Accuracy: 64.634% | Best Test Accuracy: 65.854% | Test AUC:0.6848 | Test Sen:0.6316 | Test Spe:0.6591 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | LR:0.0000662
[2023-08-15 12:47:28][Train.py][L153][INFO]Epoch[22/100] | Train Loss: 0.568 | Train Accuracy: 73.014% | Test Loss: 0.623 | Test Accuracy: 67.073% | Best Test Accuracy: 67.073% | Test AUC:0.6920 | Test Sen:0.5789 | Test Spe:0.7500 | Test F1:0.6707 | Test Recall:0.6707 | Test Precision:0.6707 | LR:0.0000648
[2023-08-15 12:47:29][Train.py][L153][INFO]Epoch[23/100] | Train Loss: 0.562 | Train Accuracy: 72.329% | Test Loss: 0.634 | Test Accuracy: 60.976% | Best Test Accuracy: 67.073% | Test AUC:0.6956 | Test Sen:0.6842 | Test Spe:0.5455 | Test F1:0.6098 | Test Recall:0.6098 | Test Precision:0.6098 | LR:0.0000634
[2023-08-15 12:47:29][Train.py][L153][INFO]Epoch[24/100] | Train Loss: 0.555 | Train Accuracy: 73.425% | Test Loss: 0.620 | Test Accuracy: 63.415% | Best Test Accuracy: 67.073% | Test AUC:0.6968 | Test Sen:0.6316 | Test Spe:0.6364 | Test F1:0.6341 | Test Recall:0.6341 | Test Precision:0.6341 | LR:0.0000620
