[2023-08-16 10:41:30][__main__.py][L41][INFO]dataset:
  name: fc_bnt
  batch_size: 16
  train_set: 0.9
  test_set: 0.1
  fc_path: /mnt/ssd1/mehul_data/research/fc_bnt_data.npy
  node_sz: 200
  node_feature_sz: 200
  num_classes: 2
  perc_edges: 100
  node: one_hot
model:
  name: GAT
  num_layers: 2
  hidden_size: 64
  dropout: 0.5
  readout: mean
optimizer:
- name: Adam
  lr: 0.0001
  match_rule: None
  except_rule: None
  no_weight_decay: false
  weight_decay: 0.0001
  lr_scheduler:
    mode: poly
    base_lr: 0.0001
    target_lr: 1.0e-05
    decay_factor: 0.1
    milestones:
    - 0.3
    - 0.6
    - 0.9
    poly_power: 2.0
    lr_decay: 0.98
    warm_up_from: 0.0
    warm_up_steps: 0
training:
  name: Train
  epochs: 100
  l2: 0.0
log_path: result
repeat_time: 5
device: cuda:0
is_wandb: true
project: asd-graph
steps_per_epoch: 57.0
total_steps: 5700.0
[2023-08-16 10:41:30][__init__.py][L15][INFO]cfg.dataset.name: fc_bnt
GAT(
  (convs): ModuleList(
    (0): GATConv(200, 64, heads=1)
    (1): GATConv(64, 64, heads=1)
  )
  (readout_lin): Linear(in_features=12800, out_features=64, bias=True)
  (lin): Linear(in_features=64, out_features=1, bias=True)
)
[2023-08-16 10:41:33][optimizer.py][L66][INFO]Parameters [normal] length [12]
[2023-08-16 10:41:33][__init__.py][L25][INFO]Training: Train
[2023-08-16 10:41:33][Train.py][L35][INFO]#model params: 836609
Starting training...
[2023-08-16 10:41:34][Train.py][L163][INFO]Epoch[1/100] | Train Loss: 0.693 | Train Accuracy: 51.432% | Test Loss: 0.694 | Test Accuracy: 47.525% | Test AUC:0.5459 | Test Sen:0.9796 | Test Spe:0.0000 | Test F1:0.4752 | Test Recall:0.4752 | Test Precision:0.4752 | Best Test Accuracy: 47.525% | Best Test AUC:0.5459 | Best Test Sensitivity:0.9796 | Best Test Specificity:0.0000 | LR:0.0000982
[2023-08-16 10:41:35][Train.py][L163][INFO]Epoch[2/100] | Train Loss: 0.692 | Train Accuracy: 52.533% | Test Loss: 0.694 | Test Accuracy: 49.505% | Test AUC:0.5428 | Test Sen:0.9796 | Test Spe:0.0385 | Test F1:0.4950 | Test Recall:0.4950 | Test Precision:0.4950 | Best Test Accuracy: 49.505% | Best Test AUC:0.5428 | Best Test Sensitivity:0.9796 | Best Test Specificity:0.0385 | LR:0.0000964
[2023-08-16 10:41:36][Train.py][L163][INFO]Epoch[3/100] | Train Loss: 0.692 | Train Accuracy: 52.533% | Test Loss: 0.694 | Test Accuracy: 49.505% | Test AUC:0.5514 | Test Sen:0.9796 | Test Spe:0.0385 | Test F1:0.4950 | Test Recall:0.4950 | Test Precision:0.4950 | Best Test Accuracy: 49.505% | Best Test AUC:0.5428 | Best Test Sensitivity:0.9796 | Best Test Specificity:0.0385 | LR:0.0000947
[2023-08-16 10:41:37][Train.py][L163][INFO]Epoch[4/100] | Train Loss: 0.692 | Train Accuracy: 52.643% | Test Loss: 0.694 | Test Accuracy: 49.505% | Test AUC:0.5565 | Test Sen:0.9796 | Test Spe:0.0385 | Test F1:0.4950 | Test Recall:0.4950 | Test Precision:0.4950 | Best Test Accuracy: 49.505% | Best Test AUC:0.5428 | Best Test Sensitivity:0.9796 | Best Test Specificity:0.0385 | LR:0.0000929
[2023-08-16 10:41:38][Train.py][L163][INFO]Epoch[5/100] | Train Loss: 0.691 | Train Accuracy: 52.643% | Test Loss: 0.694 | Test Accuracy: 49.505% | Test AUC:0.5447 | Test Sen:0.9796 | Test Spe:0.0385 | Test F1:0.4950 | Test Recall:0.4950 | Test Precision:0.4950 | Best Test Accuracy: 49.505% | Best Test AUC:0.5428 | Best Test Sensitivity:0.9796 | Best Test Specificity:0.0385 | LR:0.0000912
[2023-08-16 10:41:39][Train.py][L163][INFO]Epoch[6/100] | Train Loss: 0.690 | Train Accuracy: 52.974% | Test Loss: 0.694 | Test Accuracy: 49.505% | Test AUC:0.5542 | Test Sen:0.9592 | Test Spe:0.0577 | Test F1:0.4950 | Test Recall:0.4950 | Test Precision:0.4950 | Best Test Accuracy: 49.505% | Best Test AUC:0.5428 | Best Test Sensitivity:0.9796 | Best Test Specificity:0.0385 | LR:0.0000895
[2023-08-16 10:41:40][Train.py][L163][INFO]Epoch[7/100] | Train Loss: 0.690 | Train Accuracy: 52.974% | Test Loss: 0.693 | Test Accuracy: 51.485% | Test AUC:0.5510 | Test Sen:0.9592 | Test Spe:0.0962 | Test F1:0.5149 | Test Recall:0.5149 | Test Precision:0.5149 | Best Test Accuracy: 51.485% | Best Test AUC:0.5510 | Best Test Sensitivity:0.9592 | Best Test Specificity:0.0962 | LR:0.0000878
[2023-08-16 10:41:41][Train.py][L163][INFO]Epoch[8/100] | Train Loss: 0.690 | Train Accuracy: 54.405% | Test Loss: 0.694 | Test Accuracy: 51.485% | Test AUC:0.5495 | Test Sen:0.9592 | Test Spe:0.0962 | Test F1:0.5149 | Test Recall:0.5149 | Test Precision:0.5149 | Best Test Accuracy: 51.485% | Best Test AUC:0.5510 | Best Test Sensitivity:0.9592 | Best Test Specificity:0.0962 | LR:0.0000862
[2023-08-16 10:41:42][Train.py][L163][INFO]Epoch[9/100] | Train Loss: 0.689 | Train Accuracy: 52.863% | Test Loss: 0.695 | Test Accuracy: 49.505% | Test AUC:0.5510 | Test Sen:0.9592 | Test Spe:0.0577 | Test F1:0.4950 | Test Recall:0.4950 | Test Precision:0.4950 | Best Test Accuracy: 51.485% | Best Test AUC:0.5510 | Best Test Sensitivity:0.9592 | Best Test Specificity:0.0962 | LR:0.0000845
[2023-08-16 10:41:43][Train.py][L163][INFO]Epoch[10/100] | Train Loss: 0.688 | Train Accuracy: 53.304% | Test Loss: 0.694 | Test Accuracy: 50.495% | Test AUC:0.5483 | Test Sen:0.9388 | Test Spe:0.0962 | Test F1:0.5050 | Test Recall:0.5050 | Test Precision:0.5050 | Best Test Accuracy: 51.485% | Best Test AUC:0.5510 | Best Test Sensitivity:0.9592 | Best Test Specificity:0.0962 | LR:0.0000829
[2023-08-16 10:41:44][Train.py][L163][INFO]Epoch[11/100] | Train Loss: 0.687 | Train Accuracy: 52.753% | Test Loss: 0.694 | Test Accuracy: 51.485% | Test AUC:0.5506 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5149 | Test Recall:0.5149 | Test Precision:0.5149 | Best Test Accuracy: 51.485% | Best Test AUC:0.5510 | Best Test Sensitivity:0.9592 | Best Test Specificity:0.0962 | LR:0.0000813
